,publishedAt,authorDisplayName,textDisplay,text_clean,normalized_text,text_token,text_stemindo,polarity_score,polarity
2,2023-10-11T03:32:45Z,@dewiyunita5479,Sebetulnya pro kontra ada  yang di untungkan dan di rugikan bagi pembeli enaknya tidak keluar rumah termasuk mengurangi angka kecelakaan dan enaknya tepat cepat yang aku beli .Semua itu juga tergantung masyarakat kita yang merasakan masing masing,sebetulnya pro kontra ada  yang di untungkan dan di rugikan bagi pembeli enaknya tidak keluar rumah termasuk mengurangi angka kecelakaan dan enaknya tepat cepat yang aku beli semua itu juga tergantung masyarakat kita yang merasakan masing masing,sebetulnya pro kontra ada  yang di untungkan dan di rugikan bagi pembeli enaknya tidak keluar rumah termasuk mengurangi angka kecelakaan dan enaknya tepat cepat yang aku beli semua itu juga tergantung masyarakat kita yang merasakan masing masing,"['sebetulnya', 'pro', 'kontra', 'ada', 'yang', 'di', 'untungkan', 'dan', 'di', 'rugikan', 'bagi', 'pembeli', 'enaknya', 'tidak', 'keluar', 'rumah', 'termasuk', 'mengurangi', 'angka', 'kecelakaan', 'dan', 'enaknya', 'tepat', 'cepat', 'yang', 'aku', 'beli', 'semua', 'itu', 'juga', 'tergantung', 'masyarakat', 'kita', 'yang', 'merasakan', 'masing', 'masing']",betul pro kontra ada yang di untung dan di rugi bagi beli enak tidak keluar rumah masuk kurang angka celaka dan enak tepat cepat yang aku beli semua itu juga gantung masyarakat kita yang rasa masing masing,-16,negatif
3,2023-10-09T06:55:21Z,@user-zw3wm1op5p,"Percuma tiktokshop ditutup,, masih banyak belanja online. Kenapa tidak sekalian semua belanja online di tutup, sekarang zamannya orang tidak mau pada ribet selama bisa online…",percuma tiktokshop ditutup masih banyak belanja online kenapa tidak sekalian semua belanja online di tutup sekarang zamannya orang tidak mau pada ribet selama bisa online,percuma tiktokshop ditutup masih banyak belanja online kenapa tidak sekalian semua belanja online di tutup sekarang zamannya orang tidak mau pada ribet selama bisa online,"['percuma', 'tiktokshop', 'ditutup', 'masih', 'banyak', 'belanja', 'online', 'kenapa', 'tidak', 'sekalian', 'semua', 'belanja', 'online', 'di', 'tutup', 'sekarang', 'zamannya', 'orang', 'tidak', 'mau', 'pada', 'ribet', 'selama', 'bisa', 'online']",percuma tiktokshop tutup masih banyak belanja online kenapa tidak sekali semua belanja online di tutup sekarang zaman orang tidak mau pada ribet lama bisa online,-13,negatif
4,2023-10-08T15:34:50Z,@arisudjiman3415,"Toko dan pasar Ofline di daerah Setiap hari menangis gara gara gempuran Online, Cari pelaris saja sulit.",toko dan pasar ofline di daerah setiap hari menangis gara gara gempuran online cari pelaris saja sulit,toko dan pasar ofline di daerah setiap hari menangis gara gara gempuran online cari pelaris saja sulit,"['toko', 'dan', 'pasar', 'ofline', 'di', 'daerah', 'setiap', 'hari', 'menangis', 'gara', 'gara', 'gempuran', 'online', 'cari', 'pelaris', 'saja', 'sulit']",toko dan pasar ofline di daerah tiap hari menang gara gara gempur online cari laris saja sulit,-14,negatif
5,2023-10-08T13:27:23Z,@Konsorsium_303," alah tai kamu egois dan maruk , yang jadi penjual bukan kamu doang, kalau soal modernisasi mereka jelas kalah tapi mereka semua sama jadi anda jangan mau menang sendiri", alah tai kamu egois dan maruk  yang jadi penjual bukan kamu doang kalau soal modernisasi mereka jelas kalah tapi mereka semua sama jadi anda jangan mau menang sendiri, alah tahi kamu egois dan maruk  yang jadi penjual bukan kamu doang kalau soal modernisasi mereka jelas kalah tapi mereka semua sama jadi anda jangan mau menang sendiri,"['alah', 'tahi', 'kamu', 'egois', 'dan', 'maruk', 'yang', 'jadi', 'penjual', 'bukan', 'kamu', 'doang', 'kalau', 'soal', 'modernisasi', 'mereka', 'jelas', 'kalah', 'tapi', 'mereka', 'semua', 'sama', 'jadi', 'anda', 'jangan', 'mau', 'menang', 'sendiri']",alah tahi kamu egois dan maruk yang jadi jual bukan kamu doang kalau soal modernisasi mereka jelas kalah tapi mereka semua sama jadi anda jangan mau menang sendiri,-24,negatif
6,2023-10-07T15:28:56Z,@triharyanto513,Bubarin saja tiktok sekalian suruh pulang ke China,bubarin saja tiktok sekalian suruh pulang ke china,bubarin saja tiktok sekalian suruh pulang ke china,"['bubarin', 'saja', 'tiktok', 'sekalian', 'suruh', 'pulang', 'ke', 'china']",bubarin saja tiktok sekali suruh pulang ke china,-6,negatif
7,2023-10-07T10:08:57Z,@widyaamellya7250,Saya sangat sejutu ditutup,saya sangat sejutu ditutup,saya sangat sejutu ditutup,"['saya', 'sangat', 'sejutu', 'ditutup']",saya sangat sejutu tutup,-2,negatif
8,2023-10-07T07:20:59Z,@anishamzah904,Ah Paling juga pengalihan isu nanti juga dibuka lagi kalau ikan udah jadi tenang saja,ah paling juga pengalihan isu nanti juga dibuka lagi kalau ikan udah jadi tenang saja,ah paling juga pengalihan isu nanti juga dibuka lagi kalau ikan sudah jadi tenang saja,"['ah', 'paling', 'juga', 'pengalihan', 'isu', 'nanti', 'juga', 'dibuka', 'lagi', 'kalau', 'ikan', 'sudah', 'jadi', 'tenang', 'saja']",ah paling juga alih isu nanti juga buka lagi kalau ikan sudah jadi tenang saja,2,positif
10,2023-10-07T01:23:25Z,@kentung.9233,Alhamdulliah lagian udah pada kaya yang jualan di tiktok,alhamdulliah lagian udah pada kaya yang jualan di tiktok,alhamdulliah lagian sudah pada kayak yang jualan di tiktok,"['alhamdulliah', 'lagian', 'sudah', 'pada', 'kayak', 'yang', 'jualan', 'di', 'tiktok']",alhamdulliah lagi sudah pada kayak yang jual di tiktok,-10,negatif
11,2023-10-06T22:40:43Z,@fadilarshil0326,Udah pada kaya yang buka lapak di tiktokshop. Duitnya udah milyaran. Udah pada punya rumah mewah mobil baru tabungan numpuk dari tiktokshop. Tetapi di sisi lain banyak pedagang2 yang sepi dan tutup karena dagangannya tidak laku gegara tiktok shop. Contohnya pasar tanah abang. Yang dulunya rame sekarang jadi sepi seperti kuburan. Semoga sekarang para pedagangnya rame lagi dan laris manis setelah tiktokshop ditutup.,udah pada kaya yang buka lapak di tiktokshop duitnya udah milyaran udah pada punya rumah mewah mobil baru tabungan numpuk dari tiktokshop tetapi di sisi lain banyak pedagang yang sepi dan tutup karena dagangannya tidak laku gegara tiktok shop contohnya pasar tanah abang yang dulunya rame sekarang jadi sepi seperti kuburan semoga sekarang para pedagangnya rame lagi dan laris manis setelah tiktokshop ditutup,sudah pada kayak yang buka lapak di tiktokshop duitnya sudah milyaran sudah pada punya rumah mewah mobil baru tabungan numpuk dari tiktokshop tetapi di sisi lain banyak pedagang yang sepi dan tutup karena dagangannya tidak laku gegara tiktok shop contohnya pasar tanah abang yang dulunya rame sekarang jadi sepi seperti kuburan semoga sekarang para pedagangnya rame lagi dan laris manis setelah tiktokshop ditutup,"['sudah', 'pada', 'kayak', 'yang', 'buka', 'lapak', 'di', 'tiktokshop', 'duitnya', 'sudah', 'milyaran', 'sudah', 'pada', 'punya', 'rumah', 'mewah', 'mobil', 'baru', 'tabungan', 'numpuk', 'dari', 'tiktokshop', 'tetapi', 'di', 'sisi', 'lain', 'banyak', 'pedagang', 'yang', 'sepi', 'dan', 'tutup', 'karena', 'dagangannya', 'tidak', 'laku', 'gegara', 'tiktok', 'shop', 'contohnya', 'pasar', 'tanah', 'abang', 'yang', 'dulunya', 'rame', 'sekarang', 'jadi', 'sepi', 'seperti', 'kuburan', 'semoga', 'sekarang', 'para', 'pedagangnya', 'rame', 'lagi', 'dan', 'laris', 'manis', 'setelah', 'tiktokshop', 'ditutup']",sudah pada kayak yang buka lapak di tiktokshop duit sudah milyaran sudah pada punya rumah mewah mobil baru tabung numpuk dari tiktokshop tetapi di sisi lain banyak dagang yang sepi dan tutup karena dagang tidak laku gegara tiktok shop contoh pasar tanah abang yang dulunya rame sekarang jadi sepi seperti kubur moga sekarang para dagang rame lagi dan laris manis telah tiktokshop tutup,-21,negatif
12,2023-10-06T15:16:10Z,@ranticepi1862,Makanya bayar pajak sekalian saja tiktoknya dihapus di indonesia,makanya bayar pajak sekalian saja tiktoknya dihapus di indonesia,makanya bayar pajak sekalian saja tiktoknya dihapus di indonesia,"['makanya', 'bayar', 'pajak', 'sekalian', 'saja', 'tiktoknya', 'dihapus', 'di', 'indonesia']",makanya bayar pajak sekali saja tiktoknya hapus di indonesia,-9,negatif
